"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 22:32:02 GST 2024","Wed Mar 27 22:32:02 GST 2024","675","chromium","suites\loginPage\login.spec.ts","","","","Invalid Login",""
"passed","Wed Apr 03 20:43:26 GST 2024","Wed Apr 03 20:43:29 GST 2024","3718","chromium","suites\ProductPage\product.spec.ts","","","","back to product",""
"passed","Wed Apr 03 20:43:09 GST 2024","Wed Apr 03 20:43:26 GST 2024","17151","chromium","suites\CartPage\cart.spec.ts","","","","Нахад к покупкам",""
"passed","Wed Apr 03 20:43:23 GST 2024","Wed Apr 03 20:43:25 GST 2024","1470","chromium","suites\loginPage\login.spec.ts","Negative Login test","","","logIn without password",""
"passed","Wed Mar 27 22:24:49 GST 2024","Wed Mar 27 22:24:56 GST 2024","7436","chromium","suites\loginPage\login.spec.ts","","","","logIn without login",""
"skipped","Wed Mar 27 22:00:16 GST 2024","Wed Mar 27 22:00:16 GST 2024","0","chromium","suites\loginPage\login.spec.ts","","","","Incorrect password",""
"passed","Wed Apr 03 20:43:22 GST 2024","Wed Apr 03 20:43:24 GST 2024","1800","chromium","suites\loginPage\login.spec.ts","Negative Login test","","","Incorrect password",""
"failed","Sun Mar 24 13:20:43 GST 2024","Sun Mar 24 13:20:45 GST 2024","2665","chromium","suites\InventoryPage\inventory.spec.ts","","","","get list of item",""
"passed","Wed Apr 03 20:43:24 GST 2024","Wed Apr 03 20:43:25 GST 2024","1305","chromium","suites\loginPage\login.spec.ts","","","","Api test",""
"passed","Wed Apr 03 20:43:09 GST 2024","Wed Apr 03 20:43:22 GST 2024","12956","chromium","suites\InventoryPage\inventory.spec.ts","","","","open item",""
"passed","Wed Mar 27 22:21:57 GST 2024","Wed Mar 27 22:22:12 GST 2024","14567","chromium","suites\loginPage\login.spec.ts","","","","logIn without password",""
"passed","Wed Apr 03 20:43:09 GST 2024","Wed Apr 03 20:43:23 GST 2024","14032","chromium","suites\InventoryPage\inventory.spec.ts","","","","open backpack",""
"passed","Wed Apr 03 20:43:24 GST 2024","Wed Apr 03 20:43:26 GST 2024","1613","chromium","suites\loginPage\login.spec.ts","","","","Correct login on site",""
"passed","Wed Apr 03 20:43:25 GST 2024","Wed Apr 03 20:43:27 GST 2024","2344","chromium","suites\practisePage\preactise.spec.ts","","","","upload file",""
"passed","Wed Apr 03 20:43:25 GST 2024","Wed Apr 03 20:43:29 GST 2024","3732","chromium","suites\ProductPage\product.spec.ts","","","","add product",""
"passed","Wed Apr 03 20:43:22 GST 2024","Wed Apr 03 20:43:24 GST 2024","1773","chromium","suites\loginPage\login.spec.ts","Negative Login test","","","logIn without login",""
"passed","Wed Apr 03 20:43:09 GST 2024","Wed Apr 03 20:43:22 GST 2024","12949","chromium","suites\InventoryPage\inventory.spec.ts","","","","open main page",""
